Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),,S3 Standard,0,27.55,330.60,USD,S3 Standard storage (1 TB per month)
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),,Data Transfer,0,45,540.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (500 GB per month)"
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),web servers,Amazon EC2,0,3140.7,37688.40,USD,"Operating system (Linux), Quantity (16), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (300 GB), Instance type (m6gd.2xlarge)"
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,49.230000000000004,590.76,USD,Number of Application Load Balancers (2)
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,74.7,896.40,USD,Number of NAT Gateways (2)
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),,Amazon CloudFront,0,186.08,2232.96,USD,"Data transfer out to internet (2 TB per month), Data transfer out to origin (100 GB per month), Number of requests (HTTPS) (10000000 per month)"
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),app servers,Amazon EC2,0,4171.0599999999995,50052.72,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (300 GB), Instance type (m6gd.8xlarge)"
Project 2 Step 2 Increased Cost Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,11831.178,141974.14,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (500 GB), Provisioning IOPS (5000), Quantity (2), Instance type (db.m6g.16xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront), Additional backup storage (5 TB)"

Total:,$19,525.50 / month
Link:,https://calculator.aws/#/estimate?id=e76f35b7f323d27d3726eabedf1a8daddb35bed0
Notes:,Modifications from initial estimate include
      , - Web server: increased count to 16 with larger EC2 instance (m6gd.2xlarge) and attached NVMe SSD storage
      , - App server: increased count to 6  with larger EC2 instance (m6gd.8xlarge) and attached NVMe SSD storage
      , - DB server:  larger EC2 instance (db.m6g.16xlarge) with provisioned IOPS
      , - Not Shown:  transfer acceleration

Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
